Id,SalePrice
1461,129000.0
1462,130000.0
1463,192000.0
1464,178000.0
1465,212000.0
1466,178900.0
1467,176432.0
1468,177000.0
1469,173000.0
1470,128950.0
1471,173000.0
1472,75000.0
1473,75000.0
1474,146000.0
1475,145000.0
1476,611657.0
1477,227000.0
1478,335000.0
1479,236500.0
1480,426000.0
1481,253293.0
1482,202500.0
1483,176432.0
1484,167240.0
1485,180000.0
1486,225000.0
1487,410000.0
1488,250000.0
1489,250580.0
1490,193500.0
1491,195000.0
1492,109500.0
1493,187500.0
1494,340000.0
1495,315000.0
1496,275000.0
1497,183000.0
1498,151000.0
1499,151000.0
1500,80000.0
1501,176000.0
1502,151000.0
1503,394617.0
1504,229456.0
1505,213250.0
1506,175500.0
1507,151400.0
1508,186700.0
1509,154000.0
1510,157900.0
1511,158000.0
1512,165500.0
1513,185750.0
1514,139000.0
1515,191000.0
1516,136500.0
1517,165500.0
1518,142953.0
1519,235000.0
1520,84500.0
1521,157900.0
1522,167900.0
1523,123000.0
1524,110000.0
1525,62383.0
1526,119000.0
1527,84900.0
1528,132000.0
1529,154000.0
1530,167900.0
1531,132500.0
1532,118000.0
1533,145000.0
1534,125500.0
1535,136900.0
1536,120000.0
1537,58500.0
1538,170000.0
1539,122000.0
1540,141000.0
1541,230000.0
1542,152000.0
1543,167500.0
1544,91000.0
1545,80000.0
1546,120000.0
1547,140000.0
1548,140000.0
1549,91300.0
1550,141500.0
1551,110500.0
1552,149900.0
1553,128000.0
1554,64500.0
1555,150000.0
1556,79000.0
1557,140000.0
1558,91000.0
1559,128000.0
1560,95000.0
1561,127000.0
1562,134800.0
1563,137000.0
1564,153337.0
1565,167500.0
1566,246578.0
1567,84000.0
1568,223000.0
1569,143000.0
1570,134800.0
1571,159434.0
1572,129000.0
1573,248328.0
1574,98600.0
1575,189000.0
1576,224000.0
1577,224500.0
1578,207000.0
1579,139000.0
1580,190000.0
1581,149900.0
1582,129000.0
1583,440000.0
1584,230000.0
1585,140000.0
1586,58500.0
1587,107500.0
1588,157900.0
1589,68500.0
1590,84500.0
1591,87000.0
1592,110500.0
1593,123000.0
1594,169000.0
1595,113000.0
1596,230000.0
1597,122500.0
1598,180000.0
1599,229456.0
1600,212000.0
1601,89000.0
1602,123000.0
1603,123000.0
1604,275000.0
1605,250000.0
1606,179000.0
1607,124000.0
1608,224500.0
1609,224500.0
1610,167500.0
1611,132500.0
1612,167500.0
1613,165000.0
1614,143000.0
1615,75500.0
1616,85500.0
1617,115000.0
1618,124500.0
1619,134800.0
1620,118964.0
1621,80000.0
1622,144500.0
1623,324000.0
1624,224000.0
1625,127500.0
1626,215000.0
1627,192000.0
1628,275500.0
1629,180000.0
1630,402000.0
1631,215000.0
1632,270000.0
1633,149000.0
1634,183200.0
1635,177500.0
1636,177500.0
1637,148000.0
1638,226000.0
1639,178000.0
1640,226000.0
1641,210000.0
1642,226700.0
1643,213500.0
1644,229456.0
1645,180000.0
1646,84500.0
1647,157000.0
1648,160000.0
1649,84500.0
1650,123600.0
1651,130500.0
1652,83000.0
1653,106000.0
1654,146000.0
1655,164000.0
1656,146000.0
1657,146000.0
1658,146000.0
1659,164000.0
1660,148500.0
1661,426000.0
1662,485000.0
1663,465000.0
1664,466500.0
1665,335000.0
1666,306000.0
1667,402000.0
1668,335000.0
1669,335000.0
1670,337500.0
1671,260400.0
1672,426000.0
1673,309000.0
1674,255500.0
1675,194700.0
1676,186000.0
1677,230000.0
1678,466500.0
1679,350000.0
1680,319900.0
1681,239000.0
1682,312500.0
1683,171750.0
1684,165400.0
1685,176000.0
1686,185000.0
1687,170000.0
1688,180000.0
1689,195000.0
1690,184000.0
1691,188500.0
1692,336000.0
1693,180000.0
1694,192000.0
1695,171900.0
1696,274725.0
1697,171900.0
1698,359100.0
1699,538000.0
1700,205000.0
1701,237000.0
1702,255000.0
1703,249700.0
1704,306000.0
1705,236500.0
1706,475000.0
1707,182000.0
1708,250580.0
1709,285000.0
1710,227000.0
1711,281000.0
1712,201000.0
1713,213250.0
1714,275000.0
1715,216000.0
1716,187750.0
1717,194000.0
1718,177500.0
1719,213500.0
1720,275000.0
1721,179600.0
1722,84500.0
1723,155000.0
1724,182000.0
1725,225000.0
1726,181000.0
1727,177500.0
1728,185900.0
1729,156932.0
1730,112000.0
1731,125000.0
1732,147000.0
1733,123000.0
1734,84500.0
1735,136500.0
1736,129000.0
1737,301500.0
1738,248000.0
1739,315750.0
1740,130000.0
1741,185000.0
1742,168500.0
1743,183900.0
1744,312500.0
1745,222000.0
1746,315000.0
1747,200000.0
1748,191000.0
1749,155000.0
1750,158000.0
1751,219500.0
1752,125500.0
1753,167500.0
1754,205000.0
1755,161500.0
1756,123600.0
1757,127500.0
1758,153000.0
1759,168000.0
1760,162000.0
1761,167500.0
1762,192140.0
1763,185750.0
1764,117500.0
1765,237500.0
1766,237500.0
1767,257500.0
1768,135000.0
1769,145000.0
1770,130000.0
1771,128900.0
1772,153000.0
1773,150000.0
1774,124500.0
1775,128000.0
1776,123000.0
1777,119000.0
1778,142125.0
1779,101800.0
1780,189000.0
1781,125000.0
1782,123000.0
1783,125500.0
1784,84900.0
1785,120000.0
1786,191000.0
1787,171900.0
1788,37900.0
1789,84500.0
1790,130500.0
1791,200000.0
1792,159434.0
1793,84500.0
1794,132500.0
1795,128900.0
1796,124000.0
1797,109500.0
1798,128900.0
1799,132000.0
1800,119000.0
1801,115000.0
1802,214500.0
1803,175000.0
1804,135960.0
1805,84500.0
1806,117000.0
1807,124500.0
1808,127000.0
1809,125000.0
1810,139600.0
1811,115000.0
1812,137000.0
1813,117000.0
1814,125500.0
1815,39300.0
1816,125500.0
1817,153500.0
1818,97500.0
1819,139000.0
