Id,SalePrice
1461,155161
1462,181257
1463,180963
1464,165628
1465,142265
1466,161693
1467,152018
1468,148885
1469,165269
1470,139074
1471,150137
1472,109558
1473,110283
1474,124933
1475,107830
1476,211099
1477,192331
1478,197509
1479,207481
1480,262283
1481,215665
1482,156978
1483,199770
1484,128976
1485,160306
1486,158405
1487,237181
1488,178239
1489,159164
1490,173696
1491,173112
1492,144712
1493,187034
1494,201234
1495,195681
1496,149927
1497,136947
1498,121163
1499,116542
1500,120008
1501,139713
1502,111532
1503,192344
1504,162755
1505,166584
1506,187425
1507,195577
1508,213486
1509,156339
1510,160910
1511,157321
1512,173601
1513,161101
1514,189451
1515,183519
1516,192657
1517,162286
1518,168106
1519,171599
1520,144254
1521,159247
1522,171510
1523,143367
1524,148958
1525,150146
1526,162439
1527,132735
1528,142729
1529,143089
1530,173240
1531,144817
1532,117022
1533,138032
1534,134891
1535,170193
1536,145656
1537,140098
1538,160148
1539,161524
1540,164774
1541,157992
1542,142431
1543,163267
1544,115081
1545,123997
1546,127895
1547,140099
1548,136549
1549,129045
1550,142392
1551,133105
1552,163088
1553,169133
1554,116651
1555,195009
1556,147443
1557,156493
1558,119014
1559,141961
1560,146142
1561,182627
1562,131033
1563,133469
1564,153410
1565,158056
1566,218080
1567,133593
1568,211743
1569,194543
1570,147736
1571,145758
1572,154743
1573,203979
1574,166931
1575,182867
1576,188975
1577,150354
1578,171062
1579,152902
1580,160416
1581,170080
1582,132682
1583,200781
1584,177486
1585,122579
1586,113027
1587,129636
1588,158105
1589,155481
1590,133957
1591,125913
1592,134628
1593,133682
1594,147640
1595,156535
1596,187059
1597,204769
1598,194692
1599,126795
1600,134059
1601,116671
1602,143588
1603,135677
1604,154290
1605,179059
1606,162570
1607,206050
1608,176252
1609,158305
1610,146728
1611,179147
1612,169507
1613,177329
1614,114370
1615,103125
1616,102662
1617,106019
1618,128769
1619,155181
1620,178890
1621,151450
1622,160809
1623,179809
1624,189268
1625,156645
1626,173884
1627,165473
1628,191205
1629,144675
1630,197315
1631,159686
1632,170196
1633,142960
1634,152339
1635,149741
1636,145192
1637,186963
1638,190400
1639,180044
1640,201426
1641,172674
1642,156142
1643,162108
1644,162447
1645,175833
1646,156667
1647,161576
1648,147257
1649,144455
1650,133286
1651,142183
1652,106764
1653,104187
1654,125560
1655,113884
1656,123833
1657,125813
1658,125182
1659,108737
1660,157022
1661,235255
1662,210679
1663,214220
1664,245514
1665,198648
1666,220917
1667,256954
1668,191893
1669,180572
1670,206809
1671,202531
1672,245505
1673,203096
1674,184637
1675,156465
1676,146947
1677,170466
1678,249505
1679,231684
1680,183875
1681,162543
1682,217904
1683,142647
1684,158722
1685,150677
1686,130443
1687,143697
1688,156054
1689,163634
1690,151670
1691,144249
1692,184041
1693,143061
1694,149696
1695,136485
1696,214390
1697,137060
1698,215573
1699,198287
1700,180324
1701,196529
1702,193683
1703,184851
1704,186400
1705,169461
1706,223363
1707,161069
1708,165497
1709,193832
1710,162385
1711,175002
1712,181577
1713,184531
1714,168214
1715,154512
1716,160045
1717,146450
1718,140299
1719,169981
1720,175305
1721,172184
1722,162359
1723,165823
1724,162596
1725,181864
1726,152748
1727,152837
1728,150938
1729,155055
1730,142721
1731,140004
1732,142646
1733,139786
1734,145928
1735,133559
1736,126705
1737,225515
1738,181165
1739,175651
1740,160736
1741,140014
1742,132269
1743,130497
1744,211150
1745,207217
1746,171189
1747,185508
1748,191580
1749,163631
1750,153554
1751,200732
1752,128495
1753,172069
1754,179316
1755,194452
1756,133729
1757,132751
1758,159465
1759,180946
1760,162475
1761,165997
1762,166731
1763,172319
1764,143122
1765,178632
1766,172896
1767,199211
1768,151562
1769,173520
1770,144436
1771,148724
1772,156807
1773,153950
1774,190217
1775,141390
1776,158366
1777,130430
1778,136657
1779,136069
1780,160595
1781,153286
1782,120000
1783,159309
1784,129387
1785,150415
1786,178185
1787,145327
1788,103947
1789,143710
1790,137017
1791,197050
1792,168608
1793,156663
1794,138179
1795,154342
1796,130491
1797,145652
1798,136689
1799,122333
1800,131784
1801,160598
1802,147815
1803,157192
1804,143647
1805,138890
1806,127033
1807,169012
1808,164762
1809,144372
1810,140115
1811,141693
1812,151029
1813,132157
1814,129543
1815,100252
1816,127872
1817,154810
1818,163097
1819,119439
1820,102619
1821,131780
1822,156953
1823,121028
1824,143504
1825,128679
1826,126989
1827,128776
1828,143533
1829,153418
1830,159653
1831,159837
1832,139100
1833,148348
1834,129494
1835,150408
1836,145460
1837,118408
1838,151324
1839,106070
1840,156619
1841,155103
1842,138901
1843,164156
1844,130941
1845,180486
1846,179392
1847,195951
1848,111409
1849,161726
1850,147856
1851,152492
1852,141772
1853,124436
1854,154790
1855,185650
1856,178679
1857,222538
1858,146608
1859,126521
1860,148850
1861,126022
1862,207650
1863,190771
1864,190930
1865,191114
1866,193837
1867,173746
1868,198228
1869,150747
1870,169364
1871,184777
1872,160993
1873,208332
1874,148462
1875,190065
1876,163828
1877,173852
1878,180933
1879,171876
1880,131605
1881,192863
1882,193998
1883,158729
1884,177823
1885,199052
1886,200782
1887,164996
1888,182104
1889,156916
1890,158384
1891,117183
1892,124205
1893,162576
1894,176547
1895,171512
1896,139750
1897,133505
1898,128288
1899,143850
1900,133774
1901,173722
1902,183663
1903,170844
1904,143368
1905,184183
1906,180866
1907,210847
1908,108263
1909,111447
1910,111805
1911,185655
1912,227912
1913,168809
1914,128431
1915,153788
1916,173916
1917,178791
1918,146473
1919,156036
1920,180198
1921,218643
1922,204944
1923,171999
1924,197362
1925,169319
1926,212551
1927,162162
1928,178095
1929,129889
1930,129479
1931,136665
1932,151427
1933,168793
1934,155995
1935,148880
1936,161011
1937,185374
1938,181507
1939,161964
1940,142676
1941,167694
1942,181234
1943,147625
1944,207798
1945,216981
1946,263041
1947,176113
1948,333175
1949,191663
1950,167840
1951,234490
1952,204749
1953,177969
1954,172840
1955,149405
1956,221475
1957,170465
1958,214682
1959,161077
1960,146039
1961,129421
1962,105534
1963,111843
1964,114824
1965,121564
1966,119375
1967,196388
1968,233684
1969,219299
1970,230631
1971,228858
1972,208898
1973,172715
1974,192739
1975,237759
1976,188126
1977,241091
1978,239306
1979,196746
1980,178164
1981,190887
1982,151007
1983,151548
1984,128700
1985,148303
1986,147962
1987,131311
1988,152945
1989,155133
1990,165169
1991,157348
1992,168959
1993,144192
1994,190581
1995,154775
1996,194542
1997,198895
1998,209953
1999,182738
2000,206912
2001,183934
2002,190462
2003,182737
2004,176589
2005,168771
2006,163380
2007,187629
2008,153096
2009,161572
2010,176803
2011,166835
2012,153528
2013,153233
2014,159347
2015,183714
2016,156943
2017,158422
2018,139565
2019,135679
2020,136720
2021,124523
2022,212138
2023,161235
2024,191240
2025,221427
2026,133060
2027,119576
2028,125594
2029,126246
2030,159392
2031,145344
2032,146340
2033,152656
2034,121306
2035,173467
2036,137515
2037,137776
2038,153874
2039,161253
2040,272101
2041,200891
2042,158624
2043,173509
2044,185965
2045,197655
2046,174106
2047,149122
2048,137864
2049,185108
2050,174545
2051,118241
2052,154034
2053,159905
2054,108922
2055,165106
2056,143248
2057,139789
2058,200465
2059,151482
2060,165768
2061,188669
2062,153209
2063,144656
2064,153401
2065,157250
2066,188265
2067,138036
2068,193634
2069,124829
2070,135144
2071,115719
2072,170725
2073,149664
2074,171612
2075,167998
2076,131991
2077,147840
2078,136757
2079,144803
2080,129146
2081,136830
2082,170779
2083,144668
2084,127618
2085,140575
2086,135002
2087,147302
2088,129186
2089,109829
2090,135599
2091,161810
2092,150282
2093,149610
2094,122835
2095,164803
2096,118505
2097,122998
2098,157865
2099,111325
2100,154030
2101,157691
2102,131081
2103,130961
2104,176368
2105,132849
2106,150603
2107,192901
2108,146529
2109,139690
2110,137616
2111,144855
2112,149654
2113,122507
2114,126988
2115,143080
2116,128147
2117,142908
2118,130640
2119,123517
2120,125054
2121,124653
2122,132341
2123,104676
2124,151302
2125,156073
2126,161115
2127,166359
2128,132517
2129,122570
2130,157910
2131,154381
2132,153897
2133,137858
2134,135050
2135,135070
2136,145005
2137,147194
2138,156121
2139,166792
2140,149451
2141,132891
2142,153920
2143,137787
2144,170325
2145,143791
2146,174503
2147,172971
2148,142444
2149,151525
2150,216054
2151,119899
2152,207297
2153,171800
2154,135096
2155,147855
2156,195994
2157,182100
2158,192527
2159,169426
2160,154617
2161,180189
2162,227293
2163,199856
2164,183917
2165,170087
2166,149718
2167,166326
2168,181173
2169,158137
2170,178807
2171,164913
2172,151545
2173,175947
2174,186460
2175,183069
2176,209526
2177,187128
2178,175847
2179,122901
2180,188494
2181,167625
2182,183835
2183,164687
2184,153014
2185,152949
2186,139992
2187,153720
2188,139566
2189,352829
2190,109177
2191,113503
2192,123192
2193,146545
2194,117817
2195,142515
