Id,SalePrice
1461,131966
1462,156356
1463,191603
1464,197287
1465,177534
1466,170449
1467,169147
1468,165493
1469,171350
1470,123223
1471,204043
1472,100114
1473,100373
1474,148967
1475,117408
1476,381869
1477,253147
1478,298819
1479,272120
1480,502085
1481,302454
1482,202738
1483,186632
1484,168143
1485,176065
1486,201485
1487,331163
1488,238105
1489,215578
1490,219320
1491,183224
1492,90926
1493,195832
1494,300742
1495,284239
1496,239897
1497,180831
1498,160056
1499,157986
1500,158309
1501,181127
1502,150057
1503,315771
1504,238982
1505,225601
1506,177085
1507,254990
1508,182848
1509,157094
1510,148574
1511,141818
1512,170608
1513,133423
1514,164283
1515,215797
1516,151424
1517,165756
1518,128996
1519,232209
1520,136955
1521,135911
1522,164348
1523,112451
1524,123669
1525,118252
1526,108194
1527,105967
1528,137221
1529,153607
1530,162705
1531,98784
1532,92880
1533,155563
1534,121459
1535,150956
1536,108205
1537,70300
1538,155524
1539,200991
1540,94093
1541,143472
1542,132521
1543,225463
1544,82074
1545,111322
1546,134286
1547,144544
1548,144510
1549,111193
1550,143213
1551,105780
1552,142795
1553,157795
1554,110667
1555,166862
1556,86732
1557,109304
1558,102606
1559,71752
1560,117498
1561,141759
1562,125743
1563,122617
1564,161435
1565,147084
1566,234835
1567,73552
1568,228315
1569,151958
1570,140902
1571,125965
1572,147602
1573,250599
1574,115714
1575,211405
1576,245041
1577,203226
1578,146597
1579,148100
1580,198156
1581,155354
1582,129295
1583,324865
1584,225846
1585,141986
1586,71639
1587,96323
1588,157615
1589,102810
1590,130569
1591,96289
1592,120249
1593,128624
1594,152339
1595,111011
1596,234633
1597,179783
1598,205205
1599,173813
1600,166739
1601,70957
1602,116745
1603,82447
1604,267622
1605,250686
1606,160085
1607,176477
1608,197262
1609,201753
1610,161847
1611,138419
1612,162319
1613,159566
1614,123010
1615,85797
1616,68079
1617,88177
1618,125298
1619,141752
1620,183359
1621,137648
1622,134842
1623,278243
1624,214426
1625,117583
1626,159026
1627,192126
1628,275965
1629,181851
1630,402990
1631,203998
1632,232241
1633,175218
1634,188733
1635,177123
1636,154585
1637,193343
1638,183100
1639,184222
1640,254244
1641,179008
1642,232391
1643,228678
1644,236617
1645,202433
1646,165031
1647,158954
1648,131341
1649,144592
1650,112666
1651,125813
1652,94362
1653,95594
1654,148466
1655,149394
1656,144949
1657,151279
1658,144708
1659,123884
1660,161382
1661,509165
1662,411208
1663,365966
1664,385177
1665,330981
1666,326172
1667,379087
1668,343908
1669,305752
1670,370866
1671,268329
1672,550579
1673,302733
1674,252272
1675,190554
1676,195283
1677,232141
1678,505009
1679,422107
1680,338882
1681,267856
1682,292859
1683,178584
1684,166639
1685,168443
1686,167950
1687,167202
1688,190694
1689,192278
1690,187358
1691,181418
1692,259685
1693,166129
1694,181818
1695,165714
1696,268535
1697,172337
1698,356276
1699,320043
1700,240011
1701,264195
1702,261327
1703,266287
1704,282760
1705,230717
1706,417746
1707,216768
1708,216581
1709,283103
1710,227341
1711,259897
1712,249367
1713,263970
1714,216694
1715,207838
1716,194862
1717,175708
1718,132598
1719,199071
1720,243871
1721,173907
1722,128664
1723,157461
1724,217864
1725,239749
1726,185749
1727,158428
1728,187114
1729,176024
1730,160514
1731,123722
1732,126347
1733,118236
1734,123780
1735,138460
1736,115899
1737,342208
1738,211301
1739,297403
1740,241021
1741,204584
1742,174807
1743,180436
1744,298629
1745,244060
1746,202701
1747,213945
1748,233242
1749,150248
1750,127655
1751,223961
1752,120634
1753,147434
1754,204306
1755,175433
1756,132480
1757,123708
1758,145814
1759,159550
1760,160822
1761,133397
1762,180486
1763,170027
1764,114721
1765,163063
1766,177434
1767,207657
1768,150727
1769,174930
1770,148189
1771,127833
1772,125615
1773,135617
1774,97757
1775,141670
1776,129202
1777,116133
1778,144476
1779,119512
1780,180076
1781,127927
1782,91991
1783,151073
1784,108998
1785,132498
1786,155519
1787,156304
1788,47645
1789,101839
1790,83925
1791,190088
1792,159473
1793,134163
1794,159917
1795,129972
1796,124375
1797,118392
1798,127452
1799,113656
1800,134333
1801,128995
1802,124206
1803,137819
1804,148762
1805,134262
1806,123721
1807,127957
1808,125975
1809,116759
1810,154150
1811,100835
1812,96535
1813,128029
1814,100722
1815,41966
1816,107553
1817,126297
1818,148890
1819,114839
1820,40642
1821,113264
1822,136284
1823,30742
1824,142915
1825,135201
1826,99842
1827,101295
1828,133577
1829,119188
1830,163995
1831,149806
1832,66865
1833,138041
1834,116220
1835,127437
1836,139631
1837,77508
1838,120196
1839,89126
1840,169283
1841,148141
1842,88242
1843,126461
1844,142830
1845,132742
1846,153572
1847,158750
1848,54491
1849,113621
1850,116716
1851,156233
1852,122747
1853,133551
1854,164723
1855,143862
1856,221312
1857,135933
1858,133857
1859,118513
1860,148956
1861,113389
1862,301952
1863,293406
1864,293975
1865,309062
1866,322976
1867,232515
1868,295495
1869,210830
1870,251085
1871,238155
1872,171085
1873,227781
1874,146017
1875,204414
1876,200719
1877,216352
1878,199676
1879,131511
1880,132375
1881,228125
1882,250200
1883,190154
1884,210215
1885,237557
1886,294762
1887,209633
1888,280176
1889,164913
1890,129063
1891,136521
1892,103068
1893,143691
1894,124030
1895,136921
1896,132324
1897,117751
1898,101454
1899,163941
1900,138975
1901,182985
1902,138759
1903,223648
1904,134070
1905,192048
1906,178429
1907,194673
1908,110771
1909,128430
1910,114913
1911,205372
1912,288707
1913,119885
1914,62809
1915,354393
1916,52606
1917,259529
1918,139331
1919,173020
1920,136107
1921,468836
1922,330198
1923,225722
1924,215754
1925,200685
1926,414520
1927,128887
1928,159736
1929,131655
1930,133028
1931,145791
1932,138978
1933,197251
1934,181573
1935,179541
1936,186137
1937,180151
1938,177236
1939,225322
1940,180897
1941,171109
1942,184241
1943,200078
1944,359526
1945,394487
1946,160602
1947,336068
1948,186089
1949,237073
1950,187100
1951,257293
1952,222693
1953,170747
1954,181871
1955,137348
1956,272089
1957,152866
1958,321503
1959,137714
1960,114862
1961,121745
1962,96034
1963,103204
1964,108214
1965,145083
1966,137520
1967,295273
1968,454609
1969,422199
1970,463720
1971,454435
1972,376739
1973,247101
1974,322962
1975,444642
1976,273510
1977,345339
1978,393540
1979,323870
1980,194146
1981,351344
1982,228307
1983,202716
1984,166093
1985,231332
1986,215233
1987,174439
1988,174907
1989,195434
1990,219591
1991,270201
1992,222830
1993,160906
1994,241681
1995,182374
1996,238591
1997,322158
1998,350793
1999,258593
2000,317424
2001,262943
2002,241872
2003,263398
2004,270530
2005,211664
2006,241199
2007,240324
2008,218465
2009,192405
2010,190668
2011,139529
2012,174682
2013,183219
2014,181089
2015,196184
2016,197575
2017,200447
2018,126860
2019,137110
2020,109061
2021,107952
2022,185989
2023,141018
2024,251959
2025,345151
2026,168637
2027,157337
2028,148356
2029,167348
2030,276099
2031,265448
2032,291220
2033,261117
2034,165819
2035,222518
2036,183387
2037,193087
2038,319502
2039,211588
2040,324331
2041,281949
2042,203444
2043,166473
2044,165294
2045,195978
2046,142485
2047,145042
2048,141145
2049,141601
2050,174165
2051,109676
2052,128543
2053,148145
2054,88419
2055,154847
2056,140192
2057,113798
2058,224876
2059,133069
2060,174907
2061,168470
2062,129194
2063,112610
2064,146338
2065,108464
2066,166037
2067,125576
2068,112528
2069,81036
2070,113547
2071,103887
2072,100529
2073,138618
2074,179651
2075,145739
2076,117362
2077,157764
2078,132086
2079,138193
2080,114332
2081,121037
2082,124834
2083,142096
2084,109807
2085,127180
2086,140499
2087,115430
2088,94130
2089,75914
2090,126934
2091,134047
2092,127565
2093,122699
2094,123277
2095,151057
2096,73760
2097,96093
2098,152375
2099,55648
2100,74217
2101,117579
2102,119244
2103,99332
2104,125189
2105,127318
2106,70667
2107,220477
2108,112643
2109,113720
2110,138825
2111,156696
2112,139154
2113,123355
2114,107183
2115,159674
2116,127013
2117,157570
2118,127164
2119,112002
2120,114551
2121,107012
2122,105240
2123,84437
2124,158658
2125,124337
2126,148400
2127,164183
2128,133398
2129,100746
2130,146004
2131,140288
2132,114248
2133,130559
2134,124388
2135,80700
2136,72925
2137,106223
2138,129290
2139,148099
2140,141601
2141,152041
2142,132905
2143,155662
2144,104977
2145,137739
2146,156867
2147,138811
2148,127512
2149,143541
2150,225465
2151,115657
2152,165826
2153,167301
2154,116822
2155,152528
2156,296816
2157,223536
2158,233107
2159,205981
2160,170998
2161,232621
2162,402624
2163,347318
2164,245300
2165,183689
2166,153681
2167,221942
2168,203591
2169,194237
2170,223287
2171,149288
2172,129014
2173,167486
2174,223615
2175,298039
2176,331244
2177,237632
2178,208226
2179,139928
2180,228334
2181,182154
2182,226625
2183,189733
2184,128440
2185,119506
2186,151765
2187,156335
2188,154487
2189,232467
2190,81723
2191,76332
2192,97343
2193,103869
2194,101597
2195,107538
2196,109014
2197,117043
2198,169789
2199,178226
2200,147091
2201,139107
2202,211515
2203,144672
2204,192991
2205,118511
2206,139580
2207,212129
2208,248299
2209,233335
2210,119455
2211,114382
2212,116791
2213,114264
2214,134595
2215,102704
2216,146871
2217,75701
2218,65916
2219,59831
2220,68013
2221,357770
2222,273089
2223,297199
2224,214174
2225,115664
2226,191588
2227,207992
2228,258388
2229,253323
2230,157863
2231,207623
2232,183296
2233,176802
2234,247025
2235,237230
2236,257547
2237,349176
2238,199786
2239,109038
2240,163550
2241,162215
2242,123577
2243,122148
2244,102323
2245,97105
2246,146767
2247,109175
2248,126665
2249,122757
2250,129648
2251,115566
2252,167020
2253,154120
2254,175450
2255,198495
2256,183329
2257,205055
2258,163258
2259,176105
2260,141205
2261,186123
2262,202026
2263,359502
2264,460589
2265,160458
2266,311814
2267,407389
2268,416441
2269,146998
2270,186175
2271,210804
2272,197347
2273,167803
2274,182414
2275,162321
2276,182386
2277,179560
2278,146583
2279,132252
2280,119165
2281,174556
2282,196488
2283,102011
2284,113725
2285,135689
2286,119952
2287,361921
2288,278662
2289,388096
2290,436323
2291,312917
2292,434883
2293,479591
2294,436772
2295,482934
2296,260856
2297,319715
2298,332755
2299,412375
2300,334570
2301,286397
2302,240557
2303,241599
2304,245815
2305,185129
2306,182856
2307,190472
2308,215230
2309,285359
2310,210532
2311,195193
2312,162673
2313,173296
2314,169844
2315,172960
2316,184845
2317,184300
2318,180703
2319,178156
2320,200934
2321,241153
2322,169381
2323,181536
2324,167230
2325,206706
2326,165852
2327,216492
2328,232710
2329,185753
2330,177708
2331,366164
2332,390081
2333,314951
2334,254895
2335,254489
2336,333428
2337,234580
2338,279441
2339,209295
2340,417224
2341,202882
2342,226102
2343,225369
2344,235078
2345,244867
2346,223025
2347,198196
2348,249154
2349,162627
2350,294824
2351,254860
2352,255895
2353,270506
2354,138946
2355,150603
2356,159792
2357,193646
2358,201200
2359,131078
2360,114254
2361,145663
2362,269342
2363,141077
2364,162402
2365,230597
2366,190883
2367,203516
2368,224454
2369,202343
2370,165573
2371,171994
2372,199033
2373,285763
2374,329771
2375,253814
2376,277783
2377,390096
2378,147755
2379,221748
2380,145540
2381,157651
2382,199014
2383,192190
2384,233233
2385,160165
2386,138538
2387,138331
2388,98220
2389,128263
2390,149546
2391,140549
2392,117608
2393,165279
2394,145709
2395,213515
2396,149062
2397,207538
2398,120781
2399,57857
2400,51899
2401,110960
2402,137872
2403,137692
2404,149555
2405,160682
2406,144288
2407,126319
2408,142379
2409,125319
2410,155940
2411,118210
2412,148825
2413,129102
2414,156942
2415,132032
2416,125874
2417,140782
2418,131295
2419,129928
2420,125306
2421,146697
2422,113193
